id,title,release_date,genres
1171462,Golden Kamuy,2024-01-19,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Comedy'}]"
5,Four Rooms,1995-12-09,[{'name': 'Comedy'}]
581644,The Misfits,2021-06-03,"[{'name': 'Action'}, {'name': 'Thriller'}]"
8195,Ronin,1998-09-25,"[{'name': 'Action'}, {'name': 'Thriller'}, {'name': 'Crime'}]"
14,American Beauty,1999-09-15,[{'name': 'Drama'}]
18,The Fifth Element,1997-05-02,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}]"
11,Star Wars,1977-05-25,"[{'name': 'Adventure'}, {'name': 'Action'}, {'name': 'Science Fiction'}]"
8202,Æon Flux,2005-11-30,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Thriller'}]"
663558,New Gods: Nezha Reborn,2021-02-06,"[{'name': 'Animation'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
1318917,Chasing the Wind,2025-01-09,[{'name': 'Romance'}]
24,Kill Bill: Vol. 1,2003-10-10,"[{'name': 'Action'}, {'name': 'Crime'}]"
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
499726,MILF,2018-05-02,"[{'name': 'Comedy'}, {'name': 'Romance'}]"
311324,The Great Wall,2016-12-16,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]"
27,9 Songs,2004-07-16,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]"
19,Metropolis,1927-01-10,"[{'name': 'Drama'}, {'name': 'Science Fiction'}]"
434203,Newness,2017-11-03,"[{'name': 'Romance'}, {'name': 'Drama'}]"
1632,Mississippi Burning,1988-12-08,"[{'name': 'Drama'}, {'name': 'Crime'}, {'name': 'Mystery'}, {'name': 'Thriller'}]"
25,Jarhead,2005-11-04,"[{'name': 'Drama'}, {'name': 'War'}]"
1196067,Worldbreaker,2025-10-30,"[{'name': 'Action'}, {'name': 'Horror'}, {'name': 'Science Fiction'}]"
35,The Simpsons Movie,2007-07-25,"[{'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Family'}]"
15,Citizen Kane,1941-04-17,"[{'name': 'Mystery'}, {'name': 'Drama'}]"
8204,The Spiderwick Chronicles,2008-02-14,"[{'name': 'Family'}, {'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Drama'}]"
28,Apocalypse Now,1979-05-19,"[{'name': 'Drama'}, {'name': 'War'}]"
12,Finding Nemo,2003-05-30,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Adventure'}]"
8224,8MM,1999-02-26,"[{'name': 'Thriller'}, {'name': 'Crime'}, {'name': 'Mystery'}]"
122917,The Hobbit: The Battle of the Five Armies,2014-12-10,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Fantasy'}]"
1277988,Caramelo,2025-10-07,"[{'name': 'Comedy'}, {'name': 'Drama'}]"
376867,Moonlight,2016-10-21,[{'name': 'Drama'}]
55,Amores Perros,2000-06-16,"[{'name': 'Drama'}, {'name': 'Thriller'}]"
13,Forrest Gump,1994-06-23,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Romance'}]"
33,Unforgiven,1992-08-07,[{'name': 'Western'}]
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
38,Eternal Sunshine of the Spotless Mind,2004-03-19,"[{'name': 'Science Fiction'}, {'name': 'Drama'}, {'name': 'Romance'}]"
696374,Gabriel's Inferno,2020-05-29,"[{'name': 'Romance'}, {'name': 'Drama'}]"
41003,White Palace,1990-10-19,"[{'name': 'Drama'}, {'name': 'Romance'}]"
8247,Jumper,2008-02-13,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}]"
491584,Burning,2018-05-17,"[{'name': 'Mystery'}, {'name': 'Drama'}, {'name': 'Thriller'}]"
63,Twelve Monkeys,1995-12-29,"[{'name': 'Science Fiction'}, {'name': 'Thriller'}, {'name': 'Mystery'}]"
62,2001: A Space Odyssey,1968-04-02,"[{'name': 'Science Fiction'}, {'name': 'Mystery'}, {'name': 'Adventure'}]"
1636,Bedazzled,2000-10-19,"[{'name': 'Fantasy'}, {'name': 'Comedy'}, {'name': 'Romance'}]"
401469,Widows,2018-11-06,"[{'name': 'Drama'}, {'name': 'Crime'}, {'name': 'Thriller'}]"
65,8 Mile,2002-11-08,"[{'name': 'Drama'}, {'name': 'Music'}]"
73,American History X,1998-07-01,[{'name': 'Drama'}]
467012,Satan's Slaves,2017-09-28,"[{'name': 'Horror'}, {'name': 'Mystery'}]"
59,A History of Violence,2005-09-23,"[{'name': 'Drama'}, {'name': 'Thriller'}, {'name': 'Crime'}]"
71,Billy Elliot,2000-09-28,"[{'name': 'Drama'}, {'name': 'Comedy'}, {'name': 'Music'}]"
417859,Puss in Boots,2011-10-27,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Animation'}, {'name': 'Comedy'}, {'name': 'Family'}]"
70,Million Dollar Baby,2004-12-05,[{'name': 'Drama'}]
77,Memento,2000-10-11,"[{'name': 'Mystery'}, {'name': 'Thriller'}]"
74,War of the Worlds,2005-06-28,"[{'name': 'Adventure'}, {'name': 'Thriller'}, {'name': 'Science Fiction'}]"
69,Walk the Line,2005-09-13,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]"
426063,Nosferatu,2024-12-25,"[{'name': 'Horror'}, {'name': 'Fantasy'}]"
78,Blade Runner,1982-06-25,"[{'name': 'Science Fiction'}, {'name': 'Drama'}, {'name': 'Thriller'}]"
696393,Cold Storage,2026-01-22,"[{'name': 'Horror'}, {'name': 'Science Fiction'}, {'name': 'Comedy'}]"
614479,Insidious: The Red Door,2023-07-05,"[{'name': 'Horror'}, {'name': 'Thriller'}]"
81,Warriors of the Wind,1984-03-11,"[{'name': 'Adventure'}, {'name': 'Animation'}, {'name': 'Fantasy'}]"
180299,The Raid 2,2014-03-27,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Thriller'}]"
79,Hero,2002-12-19,"[{'name': 'Drama'}, {'name': 'Adventure'}, {'name': 'Action'}, {'name': 'History'}]"
8275,American Pie Presents: The Naked Mile,2006-12-04,[{'name': 'Comedy'}]
76,Before Sunrise,1995-01-27,"[{'name': 'Drama'}, {'name': 'Romance'}]"
85,Raiders of the Lost Ark,1981-06-12,"[{'name': 'Adventure'}, {'name': 'Action'}]"
664332,Gangubai Kathiawadi,2022-02-24,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'History'}]"
89,Indiana Jones and the Last Crusade,1989-05-24,"[{'name': 'Adventure'}, {'name': 'Action'}]"
88,Dirty Dancing,1987-08-21,"[{'name': 'Drama'}, {'name': 'Music'}, {'name': 'Romance'}]"
97,Tron,1982-07-09,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}]"
8274,American Pie Presents: Band Camp,2005-11-23,[{'name': 'Comedy'}]
87,Indiana Jones and the Temple of Doom,1984-05-23,"[{'name': 'Adventure'}, {'name': 'Action'}]"
8273,American Wedding,2003-08-01,"[{'name': 'Comedy'}, {'name': 'Romance'}]"
96,Beverly Hills Cop II,1987-05-18,"[{'name': 'Action'}, {'name': 'Comedy'}, {'name': 'Crime'}]"
95,Armageddon,1998-07-01,"[{'name': 'Action'}, {'name': 'Science Fiction'}, {'name': 'Adventure'}]"
1368166,The Housemaid,2025-12-18,"[{'name': 'Mystery'}, {'name': 'Thriller'}]"
8277,American Pie Presents: Beta House,2007-12-19,[{'name': 'Comedy'}]
581726,Infinite,2021-09-09,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}]"
90,Beverly Hills Cop,1984-12-05,"[{'name': 'Comedy'}, {'name': 'Crime'}, {'name': 'Action'}]"
101,Léon: The Professional,1994-09-14,"[{'name': 'Crime'}, {'name': 'Drama'}, {'name': 'Action'}]"
103,Taxi Driver,1976-02-09,"[{'name': 'Crime'}, {'name': 'Drama'}]"
385128,F9,2021-05-19,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Crime'}]"
8292,Four Brothers,2005-08-11,"[{'name': 'Action'}, {'name': 'Crime'}]"
335977,Indiana Jones and the Dial of Destiny,2023-06-25,"[{'name': 'Adventure'}, {'name': 'Action'}]"
105,Back to the Future,1985-07-03,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Science Fiction'}]"
106,Predator,1987-06-12,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Thriller'}]"
107,Snatch,2000-09-01,"[{'name': 'Crime'}, {'name': 'Comedy'}]"
335984,Blade Runner 2049,2017-10-04,"[{'name': 'Science Fiction'}, {'name': 'Drama'}]"
770156,Lucy Shimmers and the Prince of Peace,2020-10-19,"[{'name': 'Drama'}, {'name': 'Family'}]"
114,Pretty Woman,1990-03-23,"[{'name': 'Romance'}, {'name': 'Comedy'}]"
335983,Venom,2018-09-28,"[{'name': 'Science Fiction'}, {'name': 'Action'}]"
98,Gladiator,2000-05-04,"[{'name': 'Action'}, {'name': 'Drama'}, {'name': 'Adventure'}]"
111,Scarface,1983-12-09,"[{'name': 'Action'}, {'name': 'Crime'}, {'name': 'Drama'}]"
1007734,Nobody 2,2025-08-13,"[{'name': 'Action'}, {'name': 'Thriller'}, {'name': 'Comedy'}]"
974950,Emilia Pérez,2024-08-21,"[{'name': 'Drama'}, {'name': 'Thriller'}]"
116,Match Point,2005-10-26,"[{'name': 'Drama'}, {'name': 'Romance'}, {'name': 'Thriller'}]"
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
950387,A Minecraft Movie,2025-03-31,"[{'name': 'Family'}, {'name': 'Fantasy'}, {'name': 'Comedy'}, {'name': 'Adventure'}]"
335988,Transformers: The Last Knight,2017-06-16,"[{'name': 'Action'}, {'name': 'Adventure'}, {'name': 'Science Fiction'}]"
950396,The Gorge,2025-02-13,"[{'name': 'Romance'}, {'name': 'Science Fiction'}, {'name': 'Thriller'}]"
204922,Before I Go to Sleep,2014-09-03,"[{'name': 'Thriller'}, {'name': 'Mystery'}]"
117,The Untouchables,1987-06-03,"[{'name': 'Crime'}, {'name': 'History'}, {'name': 'Thriller'}]"
245891,John Wick,2014-10-16,"[{'name': 'Action'}, {'name': 'Thriller'}]"
122,The Lord of the Rings: The Return of the King,2003-12-17,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
121,The Lord of the Rings: The Two Towers,2002-12-18,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Action'}]"
73861,A Serbian Film,2010-01-06,"[{'name': 'Crime'}, {'name': 'Horror'}, {'name': 'Thriller'}]"
123,The Lord of the Rings,1978-11-15,"[{'name': 'Adventure'}, {'name': 'Animation'}, {'name': 'Fantasy'}]"
128,Princess Mononoke,1997-07-12,"[{'name': 'Adventure'}, {'name': 'Fantasy'}, {'name': 'Animation'}]"
393345,Cult of Chucky,2017-10-12,"[{'name': 'Horror'}, {'name': 'Thriller'}]"
8321,In Bruges,2008-02-08,"[{'name': 'Comedy'}, {'name': 'Drama'}, {'name': 'Crime'}]"
118,Charlie and the Chocolate Factory,2005-07-13,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Family'}, {'name': 'Fantasy'}]"
8328,Step Up 2: The Streets,2008-02-14,"[{'name': 'Music'}, {'name': 'Drama'}, {'name': 'Romance'}]"
129,Spirited Away,2001-07-20,"[{'name': 'Animation'}, {'name': 'Family'}, {'name': 'Fantasy'}]"
134,"O Brother, Where Art Thou?",2000-08-30,"[{'name': 'Adventure'}, {'name': 'Comedy'}, {'name': 'Crime'}]"
137,Groundhog Day,1993-02-11,"[{'name': 'Romance'}, {'name': 'Fantasy'}, {'name': 'Comedy'}]"
8326,Holes,2003-04-18,"[{'name': 'Adventure'}, {'name': 'Family'}, {'name': 'Drama'}, {'name': 'Comedy'}]"
115,The Big Lebowski,1998-03-06,"[{'name': 'Comedy'}, {'name': 'Crime'}]"
49292,Animal Instincts,1992-10-21,"[{'name': 'Drama'}, {'name': 'Thriller'}]"
8329,[REC],2007-11-23,"[{'name': 'Horror'}, {'name': 'Mystery'}]"
138,Dracula,1931-02-12,[{'name': 'Horror'}]
1007757,Swapped,2026-05-01,"[{'name': 'Adventure'}, {'name': 'Animation'}, {'name': 'Family'}, {'name': 'Fantasy'}]"
524434,Eternals,2021-11-03,"[{'name': 'Science Fiction'}, {'name': 'Action'}, {'name': 'Adventure'}]"
146,"Crouching Tiger, Hidden Dragon",2000-07-06,"[{'name': 'Adventure'}, {'name': 'Drama'}, {'name': 'Action'}, {'name': 'Romance'}]"
141,Donnie Darko,2001-01-19,"[{'name': 'Fantasy'}, {'name': 'Drama'}, {'name': 'Mystery'}]"
